time,OKtime,date
2024_01_28__00_06_44,2419604,0.504944
2024_01_28__00_06_45,2419605,0.504944
2024_01_28__00_06_45,2419605,0.448724
2024_01_28__00_06_45,2419605,0.368607
2024_01_28__00_06_45,2419605,0.504944
2024_01_28__00_06_45,2419605,0.504944
2024_01_28__00_06_46,2419606,0.504944
2024_01_28__00_06_46,2419606,0.504944
2024_01_28__00_06_46,2419606,0.504944
2024_01_28__00_06_46,2419606,0.505116
2024_01_28__00_06_46,2419606,0.505116
2024_01_28__00_06_47,2419607,0.505116
2024_01_28__00_06_47,2419607,0.504944
2024_01_28__00_06_47,2419607,0.504944
2024_01_28__00_06_47,2419607,0.504944
2024_01_28__00_06_47,2419607,0.504944
2024_01_28__00_06_48,2419608,0.505116
2024_01_28__00_06_48,2419608,0.505116
2024_01_28__00_06_48,2419608,0.505116
2024_01_28__00_06_48,2419608,0.504944
2024_01_28__00_06_48,2419608,0.505116
2024_01_28__00_06_49,2419609,0.505116
2024_01_28__00_06_49,2419609,0.504944
2024_01_28__00_06_49,2419609,0.504944
2024_01_28__00_06_49,2419609,0.505116
2024_01_28__00_06_49,2419609,0.504944
2024_01_28__00_06_50,2419610,0.504944
2024_01_28__00_06_50,2419610,0.504944
2024_01_28__00_06_50,2419610,0.494628
2024_01_28__00_06_50,2419610,0.446145
2024_01_28__00_06_50,2419610,0.394912
2024_01_28__00_06_51,2419611,0.36259
2024_01_28__00_06_51,2419611,0.394052
2024_01_28__00_06_51,2419611,0.364997
2024_01_28__00_06_51,2419611,0.357948
2024_01_28__00_06_51,2419611,0.383393
2024_01_28__00_06_52,2419612,0.390442
2024_01_28__00_06_52,2419612,0.397319
2024_01_28__00_06_52,2419612,0.397319
2024_01_28__00_06_52,2419612,0.397319
2024_01_28__00_06_52,2419612,0.397319
2024_01_28__00_06_53,2419613,0.397319
2024_01_28__00_06_53,2419613,0.404368
2024_01_28__00_06_53,2419613,0.404368
2024_01_28__00_06_53,2419613,0.415887
2024_01_28__00_06_53,2419613,0.347289
2024_01_28__00_06_54,2419614,0.429984
2024_01_28__00_06_54,2419614,0.40901
2024_01_28__00_06_54,2419614,0.40901
2024_01_28__00_06_54,2419614,0.408838
2024_01_28__00_06_54,2419614,0.408838
2024_01_28__00_06_55,2419615,0.40901
2024_01_28__00_06_55,2419615,0.40901
2024_01_28__00_06_55,2419615,0.40901
2024_01_28__00_06_55,2419615,0.40901
2024_01_28__00_06_56,2419616,0.40901
2024_01_28__00_06_56,2419616,0.40901
2024_01_28__00_06_56,2419616,0.40901
2024_01_28__00_06_56,2419616,0.408838
2024_01_28__00_06_56,2419616,0.40901
2024_01_28__00_06_57,2419617,0.40901
2024_01_28__00_06_57,2419617,0.408838
2024_01_28__00_06_57,2419617,0.40901
2024_01_28__00_06_57,2419617,0.40901
2024_01_28__00_06_57,2419617,0.40901
2024_01_28__00_06_58,2419618,0.433423
2024_01_28__00_06_58,2419618,0.408838
2024_01_28__00_06_58,2419618,0.40901
2024_01_28__00_06_58,2419618,0.409182
2024_01_28__00_06_58,2419618,0.40901
2024_01_28__00_06_59,2419619,0.40901
2024_01_28__00_06_59,2419619,0.40901
2024_01_28__00_06_59,2419619,0.40901
2024_01_28__00_06_59,2419619,0.40901
2024_01_28__00_06_59,2419619,0.40901
2024_01_28__00_07_00,2419620,0.40901
2024_01_28__00_07_00,2419620,0.40901
2024_01_28__00_07_00,2419620,0.408838
2024_01_28__00_07_00,2419620,0.408838
2024_01_28__00_07_00,2419620,0.40901
2024_01_28__00_07_01,2419621,0.40901
2024_01_28__00_07_01,2419621,0.408838
2024_01_28__00_07_01,2419621,0.40901
