time,OKtime,date
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
